Model,Colour,Source,Serial
Epiphone Les Paul Studio Custom Shop, ,eBay,10011512788
Epiphone / Les Paul Standard Plus Top Heritage Cherry Sunburst, ,Ishibashi,10051509041
Epiphone / Nighthawk Custom Reissue Fireburst [3.10kg / 2012], ,Ishibashi,12032307818
USED Epiphone / Casino Inspired By John Lennon E230TD, ,Ishibashi,13091500180
Epiphone / Tak Matsumoto DC Custom Ebony Fingerboard Ebony, ,Ishibashi,14111508184
Epiphone / Casino Vintage Sunburst [2.84kg/2016], ,Ishibashi,16011500194
EPIPHONE / Casino Vintage Sunburst, ,Ishibashi,16071503523
Epiphone / Casino Cherry, ,Ishibashi,16101500909
Epiphone / Casino Coupe,Cherry,Ishibashi,17051500412
"Epiphone Limited Edition Joe Bonamassa 1958 ""Amos"" Korina Flying V", ,Sweetwater,17102302224
Epiphone / Inspired by Gibson Les Paul Standard 60s [4.14kg / 2020], Iced Tea ,Ishibashi,20041522394
Epiphone / UpTown Kat ES,Sapphire Blue Metallic,Ishibashi,21051520947
EPIPHONE / JOE BONAMASSA 59 LPS LAZARUS, ,Ishibashi,21051534779
Epiphone / Masterbilt Excellente FT-120,Antique Natural Aged,Ishibashi,21092308389
EPIPHONE / Joan Jett Olympic Special,Aged Classic White,Ishibashi,21111525892
EPIPHONE / Riviera, Royal Tan,Ishibashi,21111535722
Epiphone / Casino Coupe made in 2021,Vintage Sunburst,Ishibashi,21121523728
Epiphone Embassy Bass Guitar,Wanderlust Green Metallic,Sweetwater,22012350846
Epiphone Embassy Bass Guitar,Wanderlust Green Metallic,Sweetwater,22012350929
Epiphone / Inspired by Gibson Les Paul Standard 50s,Heritage Cherry Sunburst,Ishibashi,22031531738
Epiphone Les Paul Custom Year: 2022, ,Forum,22051533548
EPIPHONE / Inspired by Gibson Collection Dot ES-335,Vintage Sunburst,Ishibashi,22091511446
Epiphone IBG J-200 Acoustic-electric Guitar,Aged Vintage Sunburst Gloss,Sweetwater,22092305558
Epiphone IBG J-200 Acoustic-electric Guitar,Aged Vintage Sunburst Gloss,Sweetwater,22102303682
Epiphone / Inspired by Gibson Firebird[3.65kg / 2023],Vintage Sunburst (VS) ,Ishibashi,23071532897
Epiphone Inspired By Gibson Custom 1963 Firebird I,Silver Mist,Unknown,23091523662
Epiphone IGC Les Paul,Unknown,Unknown,23121521918
From Ishibashi: Inspired by Gibson Custom 1959 Les Paul Standard,Washed Cherry Sunburst,Ishibashi,23121524563
Epiphone Inspired By Gibson Custom 1958 Korina Explorer,Aged Natural - White Pickguard *Left-Handed*, ,24011524236
Epiphone / Casino Left-Handed 2024,Natural,Ishibashi,24021511497
USED Epiphone CASINO,Vintage Sunburst,Ishibashi,24041511559
Epiphone Dave Grohl DG-335 Semi-hollowbody Electric Guitar,Pelham Blue,Sweetwater,24061510106
Epiphone Dave Grohl DG-335 Semi-hollowbody Electric Guitar,Pelham Blue,Sweetwater,24061510232
Epiphone Dave Grohl DG-335 Semi-hollowbody Electric Guitar,Pelham Blue,Sweetwater,24061510481
Epiphone Dave Grohl DG-335 Semi-hollowbody Electric Guitar,Pelham Blue,Sweetwater,24061510802
Epiphone Dave Grohl DG-335 Semi-hollowbody Electric Guitar,Pelham Blue,Sweetwater,24061510827
Epiphone 1959 Les Paul Standard Reissue Electric Guitar,"Royal Teaburst VOS, Sweetwater Exclusive",Sweetwater,24061520014
Epiphone 1959 Les Paul Standard Reissue Electric Guitar,"Royal Teaburst VOS, Sweetwater Exclusive",Sweetwater,24061520023
Epiphone 1959 Les Paul Standard Reissue Electric Guitar,"Royal Teaburst VOS, Sweetwater Exclusive",Sweetwater,24061521002
Epiphone 1959 Les Paul Standard Reissue Electric Guitar,"Royal Teaburst VOS, Sweetwater Exclusive",Sweetwater,24061521014
EPIPHONE / Inspired by Gibson Les Paul Modern,Figured Purple burst,Ishibashi,24061525361
Epiphone Miranda Lambert Bluebird Acoustic-electric Guitar,Blue Bonnet,Sweetwater,24071500502
Epiphone 1959 Les Paul Standard Reissue Electric Guitar,"Royal Teaburst VOS, Sweetwater Exclusive",Sweetwater,24071526692
EPIPHONE CASINO Vintage Sunburst,Vintage Sunburst,Ishibashi,24091510994
EPIPHONE Les Paul Standard 50s,Inverness Green,Ishibashi,24091521656
Epiphone Miranda Lambert Bluebird Acoustic-electric Guitar,Blue Bonnet,Sweetwater,24101500671
Epiphone Casino Hollowbody Electric Guitar,Vintage Sunburst,Sweetwater,24101510412
piphone Thunderbird '64 Bass Guitar,Ember Red,Sweetwater,24101527658
Epiphone 1959 ES-355 Semi-hollowbody Electric Guitar,Classic White,Sweetwater,24111512526
Epiphone 1959 ES-355 Semi-hollowbody Electric Guitar,Classic White,Sweetwater,24121510105
Epiphone 1959 ES-355 Semi-hollowbody Electric Guitar,Classic White,Sweetwater,24121510112
Epiphone 1959 ES-355 Semi-hollowbody Electric Guitar,Classic White,Sweetwater,24121510117
